"t","smMHz","memMHz","powerW","tempC","utilPct","swPowerCap","hwSlowdown","hwThermal","swThermal","hwPowerBrake"
"0.25","210","405","4.65","35","0","Not Active","Not Active","Not Active","Not Active","Not Active"
"0.6","1890","9601","6.28","35","11","Not Active","Not Active","Not Active","Not Active","Not Active"
"0.94","1890","9601","19.58","44","35","Not Active","Not Active","Not Active","Not Active","Not Active"
"1.3","2400","9601","48.5","44","100","Active","Not Active","Not Active","Not Active","Not Active"
"1.61","2385","9601","81.69","56","100","Active","Not Active","Not Active","Not Active","Not Active"
"1.93","2370","9601","112.91","56","100","Active","Not Active","Not Active","Not Active","Not Active"
"2.26","2295","9601","126.8","56","100","Active","Not Active","Not Active","Not Active","Not Active"
"2.57","2355","9601","125.44","56","100","Active","Not Active","Not Active","Not Active","Not Active"
"2.89","2325","9601","125.09","58","100","Active","Not Active","Not Active","Not Active","Not Active"
"3.19","2295","9601","124.6","58","100","Active","Not Active","Not Active","Not Active","Not Active"
"3.52","2325","9601","124.91","57","100","Active","Not Active","Not Active","Not Active","Not Active"
"3.83","2325","9601","125.26","57","100","Active","Not Active","Not Active","Not Active","Not Active"
"4.15","2295","9601","124.58","57","100","Active","Not Active","Not Active","Not Active","Not Active"
"4.49","2325","9601","125","57","100","Active","Not Active","Not Active","Not Active","Not Active"
"4.81","2325","9601","125.15","58","100","Active","Not Active","Not Active","Not Active","Not Active"
"5.14","2295","9601","124.78","58","99","Active","Not Active","Not Active","Not Active","Not Active"
"5.47","2325","9601","124.9","58","100","Active","Not Active","Not Active","Not Active","Not Active"
"5.79","2310","9601","125.28","58","100","Active","Not Active","Not Active","Not Active","Not Active"
"6.1","2295","9601","124.94","58","100","Active","Not Active","Not Active","Not Active","Not Active"
"6.42","2325","9601","124.58","58","100","Active","Not Active","Not Active","Not Active","Not Active"
"6.76","2325","9601","125.15","59","100","Active","Not Active","Not Active","Not Active","Not Active"
"7.1","2295","9601","124.67","59","100","Active","Not Active","Not Active","Not Active","Not Active"
"7.41","2325","9601","124.72","59","100","Active","Not Active","Not Active","Not Active","Not Active"
"7.73","2325","9601","125.12","59","100","Active","Not Active","Not Active","Not Active","Not Active"
"8.06","2340","9601","124.55","59","100","Active","Not Active","Not Active","Not Active","Not Active"
