# device        : NVIDIA GeForce RTX 4060 Laptop GPU  sm_89  24 SMs
# problem       : M=4096 N=4096 K=4096  fp16 in / fp32 acc / fp16 out  (A row-major, B col-major)
# accumulate    : FP16 (1024 FLOP/clk/SM tensor rate)
# epilogue      : plain store
# iters         : 50 (warmup 20)

tile   CTA          layout   stages   grp   thr reg/thr   smem CTA/SM         ms   TFLOP/s    %%SoL maxrel
----------------------------------------------------------------------------------------------------------------------
# soak 120 s, window 4.0 s -- columns are parseable CSV after 'SOAK,'
SOAK,elapsed_s,window_ms,iters,tflops,ms_per_iter
SOAK,4.01,4008.97,1344,46.076,2.9829
SOAK,8.02,4005.97,1336,45.836,2.9985
SOAK,12.03,4009.61,1312,44.972,3.0561
SOAK,16.04,4012.88,1312,44.935,3.0586
SOAK,20.08,4020.20,1320,45.127,3.0456
SOAK,24.09,4001.60,1312,45.062,3.0500
SOAK,28.12,4012.48,1296,44.392,3.0961
SOAK,32.15,4023.16,1304,44.547,3.0852
SOAK,36.17,4004.33,1296,44.482,3.0898
SOAK,40.20,4017.92,1304,44.605,3.0812
SOAK,44.23,4013.30,1296,44.383,3.0967
SOAK,48.27,4024.23,1296,44.262,3.1051
SOAK,52.30,4004.98,1296,44.475,3.0903
SOAK,56.32,4007.97,1296,44.442,3.0926
SOAK,60.35,4011.37,1296,44.404,3.0952
SOAK,64.39,4022.68,1296,44.279,3.1039
SOAK,68.42,4015.19,1296,44.362,3.0981
SOAK,72.46,4018.75,1296,44.322,3.1009
SOAK,76.48,4023.41,1296,44.271,3.1045
SOAK,80.50,4016.90,1296,44.343,3.0995
SOAK,84.52,4019.76,1296,44.311,3.1017
SOAK,88.54,4020.11,1296,44.307,3.1019
SOAK,92.58,4022.43,1288,44.009,3.1230
SOAK,96.58,4003.36,1272,43.669,3.1473
SOAK,100.60,4017.05,1288,44.067,3.1188
SOAK,104.62,4015.45,1288,44.085,3.1176
SOAK,108.65,4015.14,1288,44.088,3.1173
SOAK,112.69,4017.38,1288,44.064,3.1191
SOAK,116.71,4023.14,1296,44.274,3.1043
SOAK,120.73,4005.37,1288,44.196,3.1098
# soak summary: windows=30  avg=44.49  max=46.08  min=43.67 TFLOP/s  spread=5.2%
1      128x128x32   swizzle       2     2   256      80  32768      3      3.089     44.49        - -
