"t","smMHz","memMHz","powerW","tempC","utilPct","swPowerCap","hwSlowdown","hwThermal","swThermal","hwPowerBrake"
"0.25","1890","9601","11.29","34","1","Not Active","Not Active","Not Active","Not Active","Not Active"
"0.6","1890","9601","13.91","34","5","Not Active","Not Active","Not Active","Not Active","Not Active"
"0.94","2670","9601","22.63","39","92","Not Active","Not Active","Not Active","Not Active","Not Active"
"1.27","2655","9601","46.79","39","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"1.59","2655","9601","72.71","51","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"1.9","2655","9601","98.26","51","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"2.22","2655","9601","108.76","52","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"2.55","2655","9601","108.36","52","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"2.88","2655","9601","108.69","52","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"3.2","2655","9601","109.38","52","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"3.51","2655","9601","110.19","53","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"3.83","2655","9601","111","53","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"4.15","2655","9601","111.27","53","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"4.46","2655","9601","111.5","53","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"4.77","2655","9601","111.53","54","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"5.08","2655","9601","111.62","54","99","Not Active","Not Active","Not Active","Not Active","Not Active"
"5.4","2655","9601","111.74","54","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"5.71","2655","9601","111.81","54","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"6.02","2655","9601","111.85","54","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"6.34","2655","9601","111.87","54","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"6.65","2655","9601","111.9","54","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"6.96","2655","9601","111.95","55","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"7.28","2655","9601","112.05","55","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"7.59","2655","9601","112.09","55","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"7.9","2655","9601","111.51","55","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"8.21","2655","9601","111","55","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"8.51","2655","9601","110.21","55","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"8.84","2655","9601","110.32","55","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"9.16","2655","9601","109.77","55","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"9.48","2655","9601","110.08","55","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"9.79","2655","9601","110.87","55","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"10.1","2655","9601","112.14","56","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"10.43","2655","9601","111.49","56","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"10.74","2655","9601","111.55","56","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"11.05","2655","9601","111.6","56","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"11.37","2655","9601","112.36","56","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"11.69","2655","9601","112.57","56","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"12","2655","9601","112.63","57","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"12.31","2655","9601","112.13","57","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"12.61","2655","9601","112.1","57","100","Not Active","Not Active","Not Active","Not Active","Not Active"
"12.94","2655","9601","112.12","57","100","Not Active","Not Active","Not Active","Not Active","Not Active"
