# device        : NVIDIA GeForce RTX 4060 Laptop GPU  sm_89  24 SMs
# problem       : M=4096 N=4096 K=4096  fp16 in / fp32 acc / fp16 out  (A row-major, B col-major)
# accumulate    : FP32 (512 FLOP/clk/SM tensor rate)
# epilogue      : plain store
# iters         : 50 (warmup 20)

tile   CTA          layout   stages   grp   thr reg/thr   smem CTA/SM         ms   TFLOP/s    %%SoL maxrel
----------------------------------------------------------------------------------------------------------------------
# soak 240 s, window 4.0 s -- columns are parseable CSV after 'SOAK,'
SOAK,elapsed_s,window_ms,iters,tflops,ms_per_iter
SOAK,4.00,4001.17,840,28.854,4.7633
SOAK,8.03,4024.34,856,29.234,4.7013
SOAK,12.06,4014.60,856,29.305,4.6900
SOAK,16.11,4036.97,864,29.415,4.6724
SOAK,20.12,4002.49,856,29.394,4.6758
SOAK,24.15,4014.04,856,29.309,4.6893
SOAK,28.19,4026.47,856,29.219,4.7038
SOAK,32.22,4015.00,856,29.302,4.6904
SOAK,36.25,4014.73,856,29.304,4.6901
SOAK,40.26,4003.93,848,29.108,4.7216
SOAK,44.28,4023.67,856,29.239,4.7006
SOAK,48.33,4032.76,848,28.900,4.7556
SOAK,52.35,4000.53,840,28.858,4.7625
SOAK,56.38,4014.38,824,28.211,4.8718
SOAK,60.43,4026.79,840,28.670,4.7938
SOAK,64.47,4024.87,824,28.137,4.8846
SOAK,68.49,4008.62,816,27.977,4.9125
SOAK,72.51,3999.98,824,28.313,4.8543
SOAK,76.53,4005.34,832,28.549,4.8141
SOAK,80.58,4028.90,848,28.928,4.7511
SOAK,84.61,4017.84,856,29.281,4.6937
SOAK,88.64,4025.55,848,28.952,4.7471
SOAK,92.69,4031.09,856,29.185,4.7092
SOAK,96.70,4015.40,856,29.299,4.6909
SOAK,100.73,4015.15,856,29.301,4.6906
SOAK,104.75,4015.29,856,29.300,4.6908
SOAK,108.77,4015.93,856,29.295,4.6915
SOAK,112.81,4023.58,832,28.420,4.8360
SOAK,116.81,4000.41,816,28.035,4.9025
SOAK,120.84,4011.06,824,28.234,4.8678
SOAK,124.86,4019.76,824,28.173,4.8783
SOAK,128.87,4003.20,824,28.290,4.8583
SOAK,132.91,4029.64,840,28.650,4.7972
SOAK,136.94,4006.72,848,29.088,4.7249
SOAK,140.96,4001.93,848,29.123,4.7193
SOAK,144.98,4001.12,848,29.129,4.7183
SOAK,148.98,4001.54,848,29.126,4.7188
SOAK,153.00,4001.86,848,29.123,4.7192
SOAK,157.02,4002.97,848,29.115,4.7205
SOAK,161.07,4032.98,816,27.808,4.9424
SOAK,165.11,4025.09,816,27.863,4.9327
SOAK,169.12,4013.32,840,28.766,4.7778
SOAK,173.14,4019.22,832,28.451,4.8308
SOAK,177.16,4013.41,832,28.492,4.8238
SOAK,181.17,4011.11,848,29.056,4.7301
SOAK,185.18,4013.91,848,29.036,4.7334
SOAK,189.21,4029.36,832,28.379,4.8430
SOAK,193.24,4029.38,848,28.925,4.7516
SOAK,197.25,4002.09,848,29.122,4.7194
SOAK,201.25,4002.36,848,29.120,4.7198
SOAK,205.29,4036.72,856,29.144,4.7158
SOAK,209.31,4016.37,848,29.018,4.7363
SOAK,213.33,4020.03,840,28.718,4.7858
SOAK,217.33,4000.85,848,29.131,4.7180
SOAK,221.35,4023.01,824,28.150,4.8823
SOAK,225.37,4019.09,840,28.725,4.7846
SOAK,229.38,4007.18,840,28.810,4.7705
SOAK,233.40,4021.17,824,28.163,4.8801
SOAK,237.43,4033.04,832,28.353,4.8474
SOAK,241.45,4011.79,824,28.229,4.8687
# soak summary: windows=60  avg=28.81  max=29.41  min=27.81 TFLOP/s  spread=5.5%
1      128x128x32   swizzle       2     2   256     116  32768      2      4.770     28.81        - -
