"M","N","K","tile","cta","layout","stages","threads","regs","smem","ctaPerSm","ms","tflops","pctSoL","maxrel","solTflops","smMHz0","smMHz1","powerW1","tempC0","tempC1"
"4096","4096","4096","0","64x128x32","none","1","256","63","12288","4","5.393","25.49","79.8%","0.00e+00","31.93","1890","2655","94.89","44","50"
"4096","4096","4096","0","64x128x32","none","2","256","72","24576","3","5.379","25.55","80.0%","0.00e+00","31.93","1890","2655","94.89","44","50"
"4096","4096","4096","0","64x128x32","none","3","256","70","36864","2","5.973","23.01","72.1%","0.00e+00","31.93","1890","2655","94.89","44","50"
"4096","4096","4096","0","64x128x32","none","4","256","71","49152","2","5.699","24.12","75.5%","0.00e+00","31.93","1890","2655","94.89","44","50"
"4096","4096","4096","0","64x128x32","none","5","256","70","61440","1","7.276","18.89","59.1%","0.00e+00","31.93","1890","2655","94.89","44","50"
"4096","4096","4096","0","64x128x32","none","6","256","70","73728","1","7.366","18.66","58.4%","0.00e+00","31.93","1890","2655","94.89","44","50"
"4096","4096","4096","0","64x128x32","pad","1","256","63","15360","4","5.123","26.83","87.1%","0.00e+00","30.79","2655","2640","102.61","50","51"
"4096","4096","4096","0","64x128x32","pad","2","256","70","30720","3","4.978","27.61","89.7%","0.00e+00","30.79","2655","2640","102.61","50","51"
"4096","4096","4096","0","64x128x32","pad","3","256","70","46080","2","5.6","24.54","79.7%","0.00e+00","30.79","2655","2640","102.61","50","51"
"4096","4096","4096","0","64x128x32","pad","4","256","71","61440","1","6.025","22.81","74.1%","0.00e+00","30.79","2655","2640","102.61","50","51"
"4096","4096","4096","0","64x128x32","pad","5","256","70","76800","1","6.742","20.39","66.2%","0.00e+00","30.79","2655","2640","102.61","50","51"
"4096","4096","4096","0","64x128x32","pad","6","256","70","92160","1","6.659","20.64","67.0%","0.00e+00","30.79","2655","2640","102.61","50","51"
"4096","4096","4096","0","64x128x32","swizzle","1","256","71","12288","3","5.065","27.13","87.3%","0.00e+00","31.07","2655","2640","104.84","51","53"
"4096","4096","4096","0","64x128x32","swizzle","2","256","79","24576","3","4.908","28","90.1%","0.00e+00","31.07","2655","2640","104.84","51","53"
"4096","4096","4096","0","64x128x32","swizzle","3","256","79","36864","2","5.044","27.25","87.7%","0.00e+00","31.07","2655","2640","104.84","51","53"
"4096","4096","4096","0","64x128x32","swizzle","4","256","79","49152","2","5.076","27.08","87.2%","0.00e+00","31.07","2655","2640","104.84","51","53"
"4096","4096","4096","0","64x128x32","swizzle","5","256","79","61440","1","6.09","22.57","72.7%","0.00e+00","31.07","2655","2640","104.84","51","53"
"4096","4096","4096","0","64x128x32","swizzle","6","256","79","73728","1","6.449","21.31","68.6%","0.00e+00","31.07","2655","2640","104.84","51","53"
"4096","4096","4096","1","128x128x32","none","1","256","108","16384","2","5.421","25.35","82.6%","0.00e+00","30.71","2640","2640","90.01","53","53"
"4096","4096","4096","1","128x128x32","none","2","256","118","32768","2","5.18","26.53","86.4%","0.00e+00","30.71","2640","2640","90.01","53","53"
"4096","4096","4096","1","128x128x32","none","3","256","110","49152","2","5.037","27.28","88.8%","0.00e+00","30.71","2640","2640","90.01","53","53"
"4096","4096","4096","1","128x128x32","none","4","256","118","65536","1","6.257","21.97","71.5%","0.00e+00","30.71","2640","2640","90.01","53","53"
"4096","4096","4096","1","128x128x32","none","5","256","110","81920","1","5.807","23.67","77.1%","0.00e+00","30.71","2640","2640","90.01","53","53"
"4096","4096","4096","1","128x128x32","none","6","256","110","98304","1","5.909","23.26","75.7%","0.00e+00","30.71","2640","2640","90.01","53","53"
"4096","4096","4096","1","128x128x32","pad","1","256","108","20480","2","5.233","26.27","85.0%","0.00e+00","30.91","2640","2640","101.50","53","54"
"4096","4096","4096","1","128x128x32","pad","2","256","114","40960","2","4.809","28.58","92.4%","0.00e+00","30.91","2640","2640","101.50","53","54"
"4096","4096","4096","1","128x128x32","pad","3","256","110","61440","1","5.56","24.72","80.0%","0.00e+00","30.91","2640","2640","101.50","53","54"
"4096","4096","4096","1","128x128x32","pad","4","256","112","81920","1","5.756","23.88","77.2%","0.00e+00","30.91","2640","2640","101.50","53","54"
"4096","4096","4096","1","128x128x32","swizzle","1","256","111","16384","2","4.889","28.11","91.1%","0.00e+00","30.87","2640","2640","92.65","54","54"
"4096","4096","4096","1","128x128x32","swizzle","2","256","115","32768","2","4.712","29.17","94.5%","0.00e+00","30.87","2640","2640","92.65","54","54"
"4096","4096","4096","1","128x128x32","swizzle","3","256","116","49152","2","4.793","28.68","92.9%","0.00e+00","30.87","2640","2640","92.65","54","54"
"4096","4096","4096","1","128x128x32","swizzle","4","256","115","65536","1","5.514","24.92","80.7%","0.00e+00","30.87","2640","2640","92.65","54","54"
"4096","4096","4096","1","128x128x32","swizzle","5","256","116","81920","1","5.518","24.91","80.7%","0.00e+00","30.87","2640","2640","92.65","54","54"
"4096","4096","4096","1","128x128x32","swizzle","6","256","116","98304","1","5.532","24.85","80.5%","0.00e+00","30.87","2640","2640","92.65","54","54"
"4096","4096","4096","2","128x256x32","none","1","512","104","24576","1","6.795","20.23","65.4%","0.00e+00","30.91","2640","2640","97.22","54","55"
"4096","4096","4096","2","128x256x32","none","2","512","110","49152","1","5.839","23.54","76.1%","0.00e+00","30.91","2640","2640","97.22","54","55"
"4096","4096","4096","2","128x256x32","none","3","512","113","73728","1","5.713","24.06","77.8%","0.00e+00","30.91","2640","2640","97.22","54","55"
"4096","4096","4096","2","128x256x32","none","4","512","110","98304","1","5.81","23.66","76.5%","0.00e+00","30.91","2640","2640","97.22","54","55"
"4096","4096","4096","2","128x256x32","pad","1","512","104","30720","1","7.154","19.21","64.6%","0.00e+00","29.73","2640","2640","96.77","55","55"
